order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,traffic_avoidance
ORD000001,16,Taccos,2024-01-31,2024-01-31,2.17,42.21,Bike,Medium,Snowy,17.15,Route_4,CUST000001,32,Female,Hyderabad,46,4,American,Monthly,Yes,Hot,5,1,Fair,3,False,False,Bike-friendly,0.8012908918548073,Yes
ORD000002,30,Briyani rice,2024-10-16,2024-10-16,13.4,24.82,Car,High,Sunny,16.04,Route_2,CUST000002,59,Male,Lucknow,19,1,Asian,Weekly,No,Warm,3,2,Fair,5,False,False,Bike-friendly,0.6457949588011505,No
ORD000003,3,Pasta,2024-09-11,2024-09-11,10.74,37.25,Walk,High,Snowy,9.09,Route_3,CUST000003,20,Male,Chennai,10,5,Mexican,Monthly,Yes,Warm,4,5,Good,5,True,False,Bike-friendly,0.2911932491962433,No
ORD000004,93,Whole cake,2024-09-17,2024-09-17,6.29,49.88,Bike,High,Snowy,-2.11,Route_5,CUST000004,31,Male,Bangalore,6,4,American,Monthly,Yes,Cold,2,3,Poor,4,False,False,Car-only,0.1338269976586849,No
ORD000005,15,Sushi,2024-08-26,2024-08-26,2.94,8.53,Walk,Low,Sunny,12.2,Route_5,CUST000005,27,Other,Ahmedabad,24,3,Asian,Weekly,Yes,Cold,4,5,Good,1,False,True,Car-only,0.3492331231865427,No
ORD000006,63,Salad,2024-03-30,2024-03-30,12.42,18.08,Bike,High,Rainy,-0.34,Route_1,CUST000006,53,Female,Hyderabad,30,1,Mexican,Weekly,No,Warm,3,1,Good,2,False,False,Mixed,0.3071036506348548,No
ORD000007,21,Taccos,2024-10-14,2024-10-14,8.83,38.47,Car,Low,Snowy,0.35,Route_3,CUST000007,39,Male,Bangalore,31,2,American,Weekly,Yes,Warm,3,5,Fair,5,False,False,Mixed,0.5228979670104985,No
ORD000008,80,Burritos,2024-04-02,2024-04-02,7.12,25.68,Car,Low,Sunny,-1.31,Route_3,CUST000008,30,Female,Pune,25,1,Mediterranean,Monthly,Yes,Hot,5,5,Fair,5,True,True,Car-only,0.5307443414637483,No
ORD000009,100,Briyani rice,2024-12-03,2024-12-03,7.7,43.09,Car,Low,Snowy,15.55,Route_3,CUST000009,46,Female,Mumbai,11,4,American,Monthly,No,Hot,1,5,Good,2,True,False,Bike-friendly,0.8372742196705483,Yes
ORD000010,30,Chicken wings,2024-03-01,2024-03-01,12.31,21.94,Car,Low,Sunny,9.38,Route_3,CUST000010,43,Other,Hyderabad,43,1,Asian,Monthly,No,Cold,4,4,Good,2,False,False,Mixed,0.6489171123680545,No
ORD000011,21,Soup,2024-07-08,2024-07-08,14.22,5.45,Walk,Medium,Rainy,-1.25,Route_2,CUST000011,35,Male,Mumbai,30,4,American,Monthly,Yes,Cold,4,2,Fair,5,False,True,Mixed,0.9016728530126394,Yes
ORD000012,57,Pasta,2024-01-27,2024-01-27,3.16,23.95,Bike,Low,Rainy,4.98,Route_5,CUST000012,20,Female,Kolkata,30,5,Mexican,Weekly,Yes,Cold,5,5,Good,1,True,True,Mixed,0.1222322409452706,No
ORD000013,80,Beef pie,2024-08-02,2024-08-02,3.98,42.35,Car,Medium,Rainy,1.6,Route_2,CUST000013,32,Female,Mumbai,15,1,American,Monthly,No,Cold,4,5,Fair,4,True,True,Mixed,0.220498475546658,No
ORD000014,50,CoffeeBoba tea,2024-03-20,2024-03-20,4.99,13.76,Car,High,Sunny,12.49,Route_2,CUST000014,23,Male,Pune,12,5,American,Weekly,No,Hot,1,5,Fair,4,True,True,Car-only,0.8657737925581791,Yes
ORD000015,42,Cookie,2024-04-27,2024-04-27,9.4,10.31,Car,Medium,Rainy,3.35,Route_4,CUST000015,49,Other,Ahmedabad,43,5,Mediterranean,Weekly,Yes,Hot,1,5,Poor,2,False,True,Car-only,0.3183522520170017,No
ORD000016,45,Pasta,2024-04-20,2024-04-20,4.93,5.39,Walk,High,Sunny,14.05,Route_1,CUST000016,18,Other,Delhi,38,1,Italian,Weekly,Yes,Cold,4,1,Fair,5,False,True,Bike-friendly,0.8711672888380417,Yes
ORD000017,34,Pasta,2024-08-05,2024-08-05,3.77,8.48,Car,High,Rainy,19.18,Route_1,CUST000017,36,Other,Mumbai,37,4,Asian,Weekly,No,Hot,5,5,Fair,1,True,True,Car-only,0.7265973138972689,No
